Season,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
2024,"Aaron Judge","NYY",158,704,58,122,144,10,0.188920454,0.242897727,0.379248659,0.367469879,0.322003577,0.458036984,0.701252236,0.4757340011100992,,218.42537975678286,-0.44697413593530655,94.94746360090568,-10.168940544128418,11.184187595744937,"Aaron Judge",15640,592450
2022,"Aaron Judge","NYY",157,696,62,133,131,16,0.159482758,0.251436781,0.375438597,0.340236686,0.310526315,0.424855491,0.685964912,0.45819641417238366,,206.15483678377262,1.04784018965438,84.1890557343087,-0.6383018493652344,11.078862705908598,"Aaron Judge",15640,592450
2024,"Bobby Witt Jr.","KCR",161,709,32,125,109,31,0.080394922,0.149506346,0.256289308,0.35375494,0.331761006,0.389280677,0.588050314,0.40973835374627793,,167.54034664406979,4.518591172993183,59.31033564700637,17.48852252960205,10.377313468207095,"Bobby Witt Jr.",25764,677951
2018,"Mookie Betts","BOS",136,614,32,129,80,30,0.131921824,0.148208469,0.294230769,0.368159203,0.346153846,0.438110749,0.640384615,0.44889713366432943,,184.99697360216607,7.744565177476034,70.13320087069089,7.683156490325928,10.166038496633563,"Mookie Betts",13611,605141
2013,"Mike Trout","LAA",157,716,27,109,97,33,0.153631284,0.189944134,0.234295416,0.375576036,0.322580645,0.431564245,0.556876061,0.4227442673009111,,176.49626297175988,8.23085841536522,70.45939576333845,0.46097075939178467,10.14736949562297,"Mike Trout",10155,545361
2012,"Mike Trout","LAA",139,639,30,129,83,49,0.10485133,0.217527386,0.237924866,0.382871536,0.325581395,0.399061032,0.563506261,0.40888749529996254,,167.0438143595375,14.273969498462975,64.36919597135484,10.151297613978386,10.064203998100918,"Mike Trout",10155,545361
2012,"Buster Posey","SFG",148,610,24,78,103,1,0.113114754,0.157377049,0.213207547,0.367541766,0.335849056,0.408196721,0.549056603,0.4062988760064095,,163.89031492123388,-4.597412205301225,41.84894239800597,32.80073666572571,9.765295089633796,"Buster Posey",9166,457763
2011,"Jacoby Ellsbury","BOS",158,732,32,119,105,39,0.071038251,0.133879781,0.23030303,0.336448598,0.321212121,0.376033057,0.551515151,0.4000047687004352,,149.70427390618707,5.1063097638543695,47.47249868504632,17.965807914733887,9.46879848874229,"Jacoby Ellsbury",4727,453056
2018,"Mike Trout","LAA",140,608,39,101,79,24,0.200657894,0.203947368,0.316348196,0.346153846,0.31210191,0.459637561,0.628450106,0.44656093495408283,,188.3163034838783,3.8057936888653785,67.99738137052783,3.105596750974655,9.453902294722031,"Mike Trout",10155,545361
2015,"Bryce Harper","WSN",153,654,42,118,99,6,0.189602446,0.20030581,0.318618042,0.369318181,0.330134357,0.460244648,0.648752399,0.46116795739470884,,197.24400551674682,3.6296336562372744,77.73427418406433,-10.17090654373169,9.315669545725127,"Bryce Harper",11579,547180
2015,"Mike Trout","LAA",159,682,41,104,90,11,0.13489736,0.231671554,0.290434783,0.34383202,0.299130434,0.40175953,0.589565217,0.41484196903462894,,170.55490867335595,3.0003852494992316,58.68252778465372,6.640714049339294,9.299005021735564,"Mike Trout",10155,545361
2023,"Ronald Acuña Jr.","ATL",159,735,41,149,106,73,0.108843537,0.114285714,0.258164853,0.3378119,0.337480559,0.41632653,0.595645412,0.4275971621763511,,170.99252674776318,8.841099949087948,73.48364261008628,-7.515926212072372,9.068973749823385,"Ronald Acuna Jr.",18401,660670
2024,"Shohei Ohtani","LAD",159,731,54,134,130,59,0.110807113,0.221614227,0.336477988,0.336470588,0.309748427,0.39010989,0.646226415,0.43054929176412915,,181.15414439501438,9.735799886286259,80.67550269034133,-17.17592430114746,9.06713370290095,"Shohei Ohtani",19755,660271
2017,"Aaron Judge","NYY",155,678,52,128,114,9,0.187315634,0.30678466,0.343173432,0.356643356,0.284132841,0.421828908,0.627306273,0.430184422851145,,173.81664358316738,-1.1561896856874228,60.592657133496566,4.888250827789307,8.74551201755321,"Aaron Judge",15640,592450
2015,"Josh Donaldson","TOR",158,711,41,122,123,6,0.102672292,0.187060478,0.270967742,0.313596491,0.296774193,0.370944992,0.567741935,0.3976067846013057,,154.36356802215496,4.049022206570953,48.77726972703084,10.058276891708374,8.710970166474853,"Josh Donaldson",5038,518626
2016,"Mike Trout","LAA",159,681,29,123,100,30,0.170337738,0.201174743,0.234972677,0.37113402,0.315118397,0.440528634,0.550091074,0.4181868717274858,,170.13343017811232,5.104750494938344,62.44849432241684,-0.46719890832901,8.699157413658815,"Mike Trout",10155,545361
2013,"Miguel Cabrera","DET",148,652,44,103,137,3,0.138036809,0.144171779,0.288288289,0.355608591,0.347747747,0.441717791,0.636036036,0.45505308634108654,,192.57751261130971,-5.988424728624523,62.59030795623106,-3.9954142570495605,8.594157772742834,"Miguel Cabrera",1744,408234
2010,"Josh Hamilton","TEX",133,571,32,95,100,8,0.075306479,0.166374781,0.274131274,0.389873417,0.359073359,0.410526315,0.633204633,0.4453089311059597,,175.03500693330454,4.925732002593577,55.33562053414829,5.9454522132873535,8.417319772573324,"Josh Hamilton",1875,285078
2019,"Alex Bregman","HOU",156,690,41,122,112,5,0.172463768,0.120289855,0.296028881,0.280821917,0.29602888,0.423188405,0.592057761,0.4184302281328412,,167.2945410107893,-1.133937893435359,58.212260597146006,2.537661910057068,8.327011545437779,"Alex Bregman",17678,608324
2011,"Matt Kemp","LAD",161,689,39,115,126,40,0.107402031,0.23076923,0.262458472,0.379562043,0.323920265,0.399129172,0.586378737,0.413101733716807,,168.2112912786644,5.632076115580276,59.91343472994954,-2.6535451412200928,8.287840034677432,"Matt Kemp",5631,461314
2014,"Mike Trout","LAA",157,705,36,115,111,16,0.117730496,0.260992907,0.274086379,0.349489795,0.287375415,0.377304964,0.561461794,0.4023707492839284,,166.653971229529,6.182288255542517,57.834455663501224,-4.465483903884888,8.286635278937641,"Mike Trout",10155,545361
2024,"Juan Soto","NYY",157,713,41,128,109,7,0.180925666,0.16690042,0.28125,0.297619047,0.288194444,0.419354838,0.569444444,0.4205848819428188,,179.6323630976572,-3.839274801313877,61.12651773098099,-6.0651785135269165,8.146109898569307,"Juan Soto",20123,665742
2011,"José Bautista","TOR",149,655,43,105,103,9,0.201526717,0.169465648,0.306042885,0.308539944,0.302144249,0.447328244,0.608187134,0.44263301296203905,,180.47392696035448,4.903216144070029,66.28098227652545,-11.134300231933594,8.112256898316302,"Jose Bautista",1887,430832
