Season,Team,TG,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
2019,"HOU",162,2309,6394,288,920,891,67,0.100875821,0.182358461,0.221450205,0.296489563,0.274006769,0.352452593,0.495456974,0.35467182551256,,124.17677254329935,-3.0890754641150124,194.22638766049738,19.596597883850336,43.256924688505876
2023,"ATL",162,2278,6249,307,947,916,132,0.086093775,0.206273003,0.225120601,0.305637982,0.275683401,0.343955164,0.500804002,0.3593280624577319,,125.318689958552,9.36971282446757,205.1238606046166,-7.47376586869359,40.88883549418765
2022,"LAD",162,2326,6247,212,847,812,98,0.097166639,0.219945573,0.185124864,0.302028549,0.256605139,0.333386735,0.441730003,0.33656048353078666,,119.13644853158553,8.958864110987633,147.7873030754974,-5.732706698589027,37.476429121561566
2011,"NYY",162,2301,6306,222,867,836,147,0.099429115,0.180463051,0.181043856,0.292230933,0.263138818,0.34338118,0.444182674,0.344564798323293,,113.00929808902356,6.574475489323959,101.56747447479901,40.17607791349292,36.93320409900368
2011,"BOS",162,2269,6414,203,875,842,102,0.090115372,0.172747115,0.18056042,0.314003146,0.280210157,0.34877896,0.460770577,0.3515611771080229,,117.03076951790159,-12.21068329969421,114.29390420953023,22.733419813215733,36.8100719004856
2015,"TOR",162,2337,6231,232,891,852,88,0.091478093,0.184721553,0.188418951,0.297994269,0.268651297,0.339628732,0.457070248,0.3442048182403426,,117.35095865831218,10.971868723165244,135.86976351417917,6.5508818700909615,36.728456161555485
2017,"HOU",162,2313,6271,238,896,854,98,0.081167277,0.173337585,0.196043486,0.3089487,0.281767955,0.345544712,0.477811441,0.3486017445557222,,121.1465841589379,-0.37854274386972975,162.65702213943692,-0.9438120457343757,36.69297336894107
2013,"BOS",162,2264,6382,178,853,819,123,0.091037292,0.204951425,0.168996638,0.329300118,0.277119093,0.349228832,0.446115731,0.346553859229544,,114.35377229450435,13.341635749675333,116.7481103401168,8.253607003367506,35.70423919538466
2010,"CIN",162,2370,6285,188,790,761,93,0.083054892,0.193794749,0.164366374,0.314231588,0.271554041,0.338478855,0.435920415,0.3396305082301122,,105.95488388440525,12.696219954639673,57.20479552844367,91.75951191596687,35.37890985321164
2018,"LAD",163,2574,6358,235,804,756,75,0.10176156,0.225857187,0.19149318,0.294162436,0.250179468,0.33264757,0.441672648,0.33261783449549454,,111.35884330681222,4.7039860139884695,92.60388846302592,51.31855303538032,34.85597874083935
2016,"CHC",162,2332,6335,199,808,767,66,0.103551696,0.21136543,0.17263311,0.302348825,0.256042158,0.343452002,0.428675268,0.3333256972089889,,105.68011488575459,3.4771470471750945,47.47657898931417,91.28556236124132,34.79450080095303
2019,"LAD",162,2413,6281,279,886,861,57,0.096640662,0.215889189,0.214636811,0.290801947,0.257418532,0.337616447,0.472055343,0.33839708507823063,,109.75485059959234,9.19002017503226,89.83539228148769,67.27700182888657,34.72451802978463
2022,"NYY",162,2342,6172,254,807,764,102,0.100453661,0.22537265,0.184987089,0.276060764,0.241239395,0.324719648,0.426226484,0.3271561705912175,,113.97707802617317,-6.229985524434596,90.728561758108,40.44572756625712,34.27389443034863
2023,"TEX",162,2302,6306,233,881,845,79,0.094988899,0.224548049,0.189633601,0.309792136,0.262734584,0.337146488,0.452368185,0.33969398540582213,,116.25320856240377,-8.406322391238064,114.378359960611,10.939508579671383,34.083375923353394
2021,"HOU",162,2319,6291,221,863,834,53,0.090446669,0.194245747,0.177006973,0.303282588,0.267477203,0.339012738,0.444484176,0.3364977335567764,,114.68718690157777,-6.265537990974735,106.59459998442148,17.687178273219615,34.07757368136523
2024,"LAD",162,2403,6255,233,842,815,136,0.096243005,0.213589128,0.188699747,0.297202797,0.257696486,0.334829299,0.446396233,0.33707411224673806,,118.36014530894441,10.706451286067022,147.97427244703866,-29.30056701786816,33.787125237748654
