Season,Team,TG,W,L,SV
2017,CLE,162,102,60,37
2011,PHI,162,102,60,47
2018,HOU,162,103,59,46
2021,CHW,162,93,69,43
2021,LAD,162,106,56,56
2022,HOU,162,106,56,53
2013,DET,162,93,69,39
2019,LAD,162,106,56,44
2022,LAD,162,111,51,43
2019,TBR,162,96,66,46
2012,DET,162,88,74,40
2018,NYY,162,100,62,49
2023,PHI,162,90,72,45
2014,WSN,162,96,66,45
2019,HOU,162,107,55,47
2010,CHW,162,88,74,43
2019,MIN,162,101,61,50
2021,MIL,162,95,67,44
2016,WSN,162,95,67,46
2024,ATL,162,89,73,40
2017,NYY,162,91,71,36
2017,BOS,162,93,69,39
2011,CHW,162,79,83,42
2017,WSN,162,97,65,46
2015,CHC,162,97,65,48
2017,ARI,162,93,69,43
2022,PHI,162,87,75,42
2012,TEX,162,93,69,43
2022,ATL,162,101,61,55
2015,WSN,162,83,79,41
2018,CLE,162,91,71,41
2021,SFG,162,107,55,56
2024,PHI,162,95,67,37
2019,WSN,162,93,69,40
2017,LAD,162,104,58,51
2021,NYY,162,92,70,47
2010,COL,162,83,79,35
2022,NYM,162,101,61,41
2016,NYM,162,87,75,55
2023,TBR,162,99,63,45
2013,TEX,163,91,72,46
2015,CLE,161,81,80,38
2019,CLE,162,93,69,42
2022,NYY,162,99,63,47
2012,LAD,162,86,76,40
2013,LAD,162,92,70,46
2015,STL,162,100,62,62
2014,CHC,162,73,89,37
2012,TBR,162,90,72,50
2023,MIN,162,87,75,38
2021,BOS,162,92,70,49
2022,SFG,162,81,81,39
2014,CLE,162,85,77,40
2024,KCR,162,86,76,41
2016,LAD,162,91,71,47
2011,LAD,161,82,79,40
2019,CIN,162,75,87,46
2019,NYM,162,86,76,38
2012,PHI,162,81,81,42
2015,LAD,162,92,70,47
2018,PHI,162,80,82,44
2014,DET,162,90,72,41
2014,LAD,162,94,68,47
2012,OAK,162,94,68,47
2015,PIT,162,98,64,54
2012,WSN,162,98,64,51
2023,SEA,162,88,74,44
2024,SDP,162,93,69,44
2010,TEX,162,90,72,46
2011,TEX,162,96,66,38
2017,HOU,162,101,61,45
2015,NYM,162,90,72,50
2022,SDP,162,89,73,48
2018,LAD,163,92,71,48
2021,TBR,162,100,62,42
2015,HOU,162,86,76,39
2016,CHC,162,103,58,38
2016,BOS,162,93,69,43
2019,OAK,162,97,65,45
2012,CIN,162,97,65,56
2016,NYY,162,84,78,48
2023,MIA,162,84,78,43
2023,SDP,162,82,80,36
2017,COL,162,87,75,47
2014,ATL,162,79,83,54
2018,BOS,162,108,54,46
2016,DET,161,86,75,47
2024,MIN,162,82,80,43
2015,NYY,162,87,75,48
2010,SFG,162,92,70,57
2023,BAL,162,101,61,49
2016,CLE,161,94,67,37
2013,NYM,162,74,88,40
2013,CIN,162,90,72,43
2010,DET,162,81,81,32
2011,OAK,162,74,88,39
2013,ATL,162,96,66,53
2019,NYY,162,103,59,50
2018,NYM,162,77,85,41
2022,CLE,162,92,70,51
2011,CLE,162,80,82,38
2021,PHI,162,82,80,36
2012,SEA,162,75,87,43
2016,HOU,162,84,78,44
2014,NYY,162,84,78,48
2013,KCR,162,86,76,52
2018,TBR,162,90,72,52
2015,CHW,162,76,86,37
2014,OAK,162,88,74,31
2011,SEA,162,67,95,39
2024,WSN,162,71,91,40
2011,NYY,162,97,65,47
2011,SFG,162,86,76,52
2013,STL,162,97,65,44
2010,MIN,162,94,68,40
2013,WSN,162,86,76,47
2023,TOR,162,89,73,51
2022,TBR,162,86,76,44
2014,KCR,162,89,73,53
2021,CIN,162,83,79,41
2021,NYM,162,77,85,41
2016,CHW,162,78,84,43
2018,COL,163,91,72,51
2017,MIL,162,86,76,54
2022,CHW,162,81,81,48
2024,CIN,162,77,85,36
2012,NYY,162,95,67,51
2024,DET,162,86,76,45
2023,LAD,162,100,62,44
2019,CHC,162,84,78,38
2024,SEA,162,85,77,34
2010,LAD,162,80,82,41
2016,TOR,162,89,73,43
2017,CHC,162,92,70,38
2011,TBR,162,91,71,32
2013,PIT,162,94,68,55
2013,CLE,162,92,70,38
2011,MIL,162,96,66,47
