Season,Team,TG,W,L,SV,WR,wRC+_lag1,OBP_lag1,SLG_lag1,HR_lag1,WAR_lag1_x,Off_lag1,Def_lag1_x,BsR_lag1,K%_lag1,BB%_lag1,wRC+_lag2,OBP_lag2,SLG_lag2,HR_lag2,WAR_lag2_x,Off_lag2,Def_lag2_x,BsR_lag2,K%_lag2,BB%_lag2,wRC+_lag3,OBP_lag3,SLG_lag3,HR_lag3,WAR_lag3_x,Off_lag3,Def_lag3_x,BsR_lag3,K%_lag3,BB%_lag3,wRC+_lag4,OBP_lag4,SLG_lag4,HR_lag4,WAR_lag4_x,Off_lag4,Def_lag4_x,BsR_lag4,K%_lag4,BB%_lag4,wRC+_lag5,OBP_lag5,SLG_lag5,HR_lag5,WAR_lag5_x,Off_lag5,Def_lag5_x,BsR_lag5,K%_lag5,BB%_lag5,ERA_lag1,FIP_lag1,xFIP_lag1,xERA_lag1,K/9_lag1,BB/9_lag1,HR/9_lag1,LOB%_lag1,GB%_lag1,WAR_lag1_y,ERA_lag2,FIP_lag2,xFIP_lag2,xERA_lag2,K/9_lag2,BB/9_lag2,HR/9_lag2,LOB%_lag2,GB%_lag2,WAR_lag2_y,ERA_lag3,FIP_lag3,xFIP_lag3,xERA_lag3,K/9_lag3,BB/9_lag3,HR/9_lag3,LOB%_lag3,GB%_lag3,WAR_lag3_y,ERA_lag4,FIP_lag4,xFIP_lag4,xERA_lag4,K/9_lag4,BB/9_lag4,HR/9_lag4,LOB%_lag4,GB%_lag4,WAR_lag4_y,ERA_lag5,FIP_lag5,xFIP_lag5,xERA_lag5,K/9_lag5,BB/9_lag5,HR/9_lag5,LOB%_lag5,GB%_lag5,WAR_lag5_y,Def_lag1_y,DRS_lag1,OAA_lag1,UZR_lag1,UZR/150_lag1,RngR_lag1,ErrR_lag1,ARM_lag1,FRM_lag1,DPR_lag1,Def_lag2_y,DRS_lag2,OAA_lag2,UZR_lag2,UZR/150_lag2,RngR_lag2,ErrR_lag2,ARM_lag2,FRM_lag2,DPR_lag2,Def_lag3_y,DRS_lag3,OAA_lag3,UZR_lag3,UZR/150_lag3,RngR_lag3,ErrR_lag3,ARM_lag3,FRM_lag3,DPR_lag3,Def_lag4_y,DRS_lag4,OAA_lag4,UZR_lag4,UZR/150_lag4,RngR_lag4,ErrR_lag4,ARM_lag4,FRM_lag4,DPR_lag4,Def_lag5_y,DRS_lag5,OAA_lag5,UZR_lag5,UZR/150_lag5,RngR_lag5,ErrR_lag5,ARM_lag5,FRM_lag5,DPR_lag5
2017,CLE,162,102,60,37,0.6296296296296297,99.86591869020894,0.329033311,0.42961342,185.0,23.59982864685801,13.494964289205909,8.850904684513807,15.191921866033226,0.202437043,0.086271324,96.69957104587176,0.324533905,0.400625114,141.0,19.05121644345765,-15.619193966335544,-4.516507766209543,8.0584154445678,0.189392699,0.087248322,98.34519414052556,0.317179902,0.388699551,142.0,13.750420894901264,-1.6795245592857595,-68.69530588295311,9.924085705541074,0.19109611,0.081002892,104.02486225068954,0.326703619,0.409881061,171.0,23.01381193248957,39.31799124186226,-24.88357001915574,11.545265389140695,0.2081103,0.091159772,96.68036349252952,0.323567497,0.381357466,136.0,8.558750822350715,-37.73668393709959,-89.35542452335358,-13.556875492911786,0.175464083,0.089588377,3.8553635476211454,3.912650393113456,3.8023075581075823,,8.707266946000585,2.871280444997332,1.1584775765065156,0.734373,0.466666666,18.185680210590363,3.6812473153017335,3.620797129992532,3.5730712897674297,,8.838762751927542,2.669846602394602,1.0114007129071316,0.72752366,0.445060483,21.053089428693056,3.573439926507562,3.4189718578224784,3.3600910984662944,,8.887629319787246,2.844041382331919,0.8274689366698471,0.73194685,0.467084639,20.302898071240637,3.81521777,3.734024656688109,3.712396758008732,,8.610777912654601,3.459297290508085,0.9179001835824704,0.74155903,0.445291369,16.772019994445145,4.7871015506169,4.400970901545173,4.386096104805167,,6.778086419778296,3.389043209889148,1.085991746815307,0.67621406,0.458654906,12.627252652891912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,PHI,162,102,60,47,0.6296296296296297,99.00639120312812,0.331999359,0.41336678,166.0,22.79021660090364,5.500965991419202,21.89273124979809,13.3005217644386,0.169130503,0.089016054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6832230767635457,3.927235965814684,3.7508456262256975,,7.310827013106166,2.5708402683450253,1.0382239545239524,0.75314063,0.465493283,16.648132690927014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,HOU,162,103,59,46,0.6358024691358025,121.1465841589379,0.345544712,0.477811441,238.0,36.69297336894107,162.65702213943692,-0.9438120457343756,-0.3785427438697297,0.173337585,0.081167277,101.14884724421512,0.318601262,0.416591523,198.0,24.935069439310944,16.811004007686588,16.93203202704899,8.571206150343642,0.234042553,0.089297227,108.3534808187096,0.315188616,0.436526836,230.0,26.06685157015405,66.7471431761504,-19.609932507621124,8.1340176560916,0.229211262,0.080026346,98.28147157438514,0.309464611,0.382595924,163.0,13.656812797355144,-8.105564825247628,-57.869121826137416,3.602318283636123,0.238150289,0.081750619,84.875480835987,0.298844801,0.375481033,148.0,1.769474526876196,-112.7104567735098,-64.98679514229298,-8.896278840489686,0.254983388,0.070764119,4.120332245731836,3.908677092479187,3.7669775754521626,,9.91493847,3.248962888628427,1.1950208325989615,0.7366235,0.473207351,19.014902217313647,4.064714223233091,3.852963709,3.874857627713248,,8.558583794318846,2.7772481796750985,1.1096731137333176,0.73350798,0.451719265,17.609400418121368,3.572519320699424,3.662393229870428,3.712765875090945,,7.994448829537172,2.641915511636112,0.9243581459152356,0.73780955,0.473164861,18.857196735218167,4.141335042370493,3.925347718058675,3.912440883716158,,7.112836772168052,3.027803867835829,0.8695552430354963,0.70287899,0.463586709,9.852520162705332,4.793750453199199,4.666604528875208,4.479221459798615,,6.7750006405057785,3.8500003639774536,1.1937501128566457,0.69988628,0.439196645,2.170993176056072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,CHW,162,93,69,43,0.5740740740740741,111.13500211818986,0.325673884,0.45334636,96.0,13.05667093390074,27.714407465231258,7.303457803442143,-3.339334303396754,0.251874724,0.078958976,91.63414315968134,0.314238134,0.413998914,182.0,9.584934597729587,-67.45271898314417,-52.655129589140415,-2.4944603252224624,0.256372062,0.062562065,91.72770399906696,0.301521667,0.401412275,182.0,10.457509863490648,-61.6821714044933,-43.852034298703074,-1.3822223968745675,0.26255971,0.070004941,95.43070527597284,0.31363108,0.417195719,186.0,15.529056286512978,-38.53518005483824,-5.401024164631963,-4.10161704908387,0.2305661,0.066182538,96.66602307870605,0.317273025,0.409909909,168.0,15.39311220374482,-25.805114992574943,-31.28419063566253,-1.0798863272648305,0.209590605,0.074213015,3.80834979220684,4.324246832003548,4.3584052329813145,,8.93169032,3.705882982,1.212523925,0.75093442,0.442307692,6.565184254199266,4.905616276434941,4.890979888243992,4.8101613899383375,,8.358660460626808,3.707881393357319,1.5162813945344362,0.71297042,0.43162188,13.21717183943838,4.847599998769664,4.730369215342238,4.878942966754298,,7.885178809368226,4.089771058393528,1.227557622,0.69352426,0.407545412,9.842827326618137,4.779601873,5.169363219709496,5.014711173082663,,7.552404018617677,4.000938256300396,1.5320048386466705,0.72427229,0.419475655,4.362200748175383,4.118433660045453,4.274671113489909,4.380682241424476,,7.900922580449737,3.241244617649065,1.1509217932151192,0.73972603,0.430679156,17.107423547189683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,LAD,162,106,56,56,0.654320987654321,120.22118748360356,0.337802768,0.482859941,118.0,13.814122562199604,58.33381900986209,-1.3310151370242238,-1.5030290524300651,0.203367875,0.098445595,109.75485059959234,0.337616447,0.472055343,279.0,34.72451802978463,89.83539228148769,67.27700182888657,9.19002017503226,0.215889189,0.096640662,111.35884330681222,0.33264757,0.441672648,235.0,34.85597874083935,92.60388846302592,51.31855303538032,4.7039860139884695,0.225857187,0.10176156,104.41492208266932,0.334469881,0.436760355,221.0,29.691221592956484,33.7684537238259,51.43400655238781,-1.078361651103478,0.222904215,0.104829591,97.16840027628405,0.319256481,0.408843783,189.0,22.817514681718134,-24.27614418650392,51.361780478968285,-2.1134979460402974,0.21430889,0.085171966,3.0241341595067226,3.789191690636579,3.9898151204917456,,8.637996466657324,2.4226489123120154,1.102722953190297,0.75763666,0.463000678,8.909814177080989,3.392898514844702,3.726575795687605,3.8668909373158256,,9.456537328530464,2.4403967299433456,1.1517178444885685,0.74714286,0.449064449,25.382223861292005,3.3963417106328104,3.598100984326672,3.518738513294446,,9.542683621436892,2.573170919007264,1.0914634940812802,0.76220723,0.449056603,18.972702901810408,3.3827876655480447,3.6698686429565615,3.700993217207579,,9.649978073543132,2.753576700133031,1.1462853231323025,0.77771649,0.427408768,21.717351347208023,3.7040609715680377,3.611804756083448,3.754150439028293,,9.353063657303908,2.8740539980059694,1.0220235122219503,0.73775773,0.427582671,19.97896736767143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,HOU,162,106,56,53,0.654320987654321,114.68718690157776,0.339012738,0.444484176,221.0,34.07757368136523,106.59459998442148,17.687178273219615,-6.265537990974735,0.194245747,0.090446669,96.62881822359788,0.312162162,0.407630522,69.0,6.522841054892156,-7.304995839743553,-7.46738164126873,1.9520905278623104,0.197397936,0.086137281,124.17677254329936,0.352452593,0.495456974,288.0,43.25692468850588,194.22638766049735,19.596597883850336,-3.0890754641150124,0.182358461,0.100875821,109.78415102705306,0.329196603,0.425270493,205.0,32.704520410700006,72.44353577817897,35.58111432287842,0.8233421961012937,0.19476082,0.09192971,121.1465841589379,0.345544712,0.477811441,238.0,36.69297336894107,162.65702213943692,-0.9438120457343756,-0.3785427438697297,0.173337585,0.081167277,3.7993082994942378,4.122283342886727,4.123705746174249,,9.068512924694442,3.419377469544814,1.1647059868941352,0.7505352,0.446614253,16.266394247766584,4.311069122546757,4.328824006,4.432146258379552,,9.034352025735434,3.7270995999707015,1.202290193538936,0.71451613,0.442068965,6.267363418824971,3.6619559896159695,3.976489574386216,3.800858528336073,,10.284249510333252,2.7572374510049653,1.4155460127927275,0.76822157,0.435560231,24.198387583717704,3.111340377296961,3.232596528197541,3.358136695405016,,10.43505212027828,2.690721797463575,0.9402062372746284,0.77881834,0.440282301,28.632656495668925,4.120332245731836,3.908677092479187,3.7669775754521626,,9.91493847,3.248962888628427,1.1950208325989615,0.7366235,0.473207351,19.014902217313647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DET,162,93,69,39,0.5740740740740741,104.71779506981235,0.334538878,0.422388604,163.0,20.35638990549188,15.442695555779558,-27.373526552924886,-17.829080557450652,0.180258212,0.083510377,108.8370357362697,0.339750849,0.433579004,169.0,23.608178449843702,48.53371696607999,-30.29283040948212,-15.22919521597214,0.18343765,0.083614187,101.97874060142678,0.335193749,0.415204678,152.0,23.84594879891341,23.9063327293373,-13.767185391276143,9.735575806349516,0.181717363,0.086501901,,,,,,,,,,,,,,,,,,,,,3.768173519495373,3.63056582,3.7393862377544096,,8.291239897654258,2.755358934121825,0.949906847,0.72663329,0.434166266,24.466205207630992,4.043750074065369,3.955247413924318,4.003332779307801,,6.9687501276397015,3.0750000563217337,0.9312500170567852,0.7114965,0.444851258,16.685847526649013,4.287099308792286,4.144078365502265,4.312697229921151,,6.580198939076533,3.346180710496305,0.8848373573379429,0.70555135,0.438230008,18.010067120194435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,LAD,162,106,56,44,0.654320987654321,111.35884330681222,0.33264757,0.441672648,235.0,34.85597874083935,92.60388846302592,51.31855303538032,4.7039860139884695,0.225857187,0.10176156,104.41492208266932,0.334469881,0.436760355,221.0,29.691221592956484,33.7684537238259,51.43400655238781,-1.078361651103478,0.222904215,0.104829591,97.16840027628405,0.319256481,0.408843783,189.0,22.817514681718134,-24.27614418650392,51.361780478968285,-2.1134979460402974,0.21430889,0.085171966,106.1768019472985,0.326101358,0.412627669,187.0,29.042363212153298,28.15946325321042,57.33340233750641,-15.298119564540684,0.206568144,0.092446633,111.73632452907864,0.332524664,0.405755395,134.0,32.29555656219152,81.41382855204246,24.30765747448368,-0.4047113843262195,0.199967902,0.083293211,3.3963417106328104,3.598100984326672,3.518738513294446,,9.542683621436892,2.573170919007264,1.0914634940812802,0.76220723,0.449056603,18.972702901810408,3.3827876655480447,3.6698686429565615,3.700993217207579,,9.649978073543132,2.753576700133031,1.1462853231323025,0.77771649,0.427408768,21.717351347208023,3.7040609715680377,3.611804756083448,3.754150439028293,,9.353063657303908,2.8740539980059694,1.0220235122219503,0.73775773,0.427582671,19.97896736767143,3.455153643868745,3.404748951,3.3278018815506685,,8.690800877190574,2.4590733141047827,0.902697799,0.74660633,0.501373969,19.707368499832228,3.404187789260292,3.480454289097182,3.332292767707105,,8.436732553527763,2.636094876521056,0.8725535488717715,0.74011931,0.47789321,19.52412634436041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,LAD,162,111,51,43,0.6851851851851852,105.266692912939,0.329788947,0.429017447,237.0,29.009878465030237,43.99937592058629,35.975461793132126,2.735602909408044,0.225677191,0.098252925,120.22118748360356,0.337802768,0.482859941,118.0,13.814122562199604,58.33381900986209,-1.3310151370242238,-1.5030290524300651,0.203367875,0.098445595,109.75485059959234,0.337616447,0.472055343,279.0,34.72451802978463,89.83539228148769,67.27700182888657,9.19002017503226,0.215889189,0.096640662,111.35884330681222,0.33264757,0.441672648,235.0,34.85597874083935,92.60388846302592,51.31855303538032,4.7039860139884695,0.225857187,0.10176156,104.41492208266932,0.334469881,0.436760355,221.0,29.691221592956484,33.7684537238259,51.43400655238781,-1.078361651103478,0.222904215,0.104829591,3.0309920880878303,3.5433124027996024,3.7544229591461646,,9.911158177612352,3.0123970446026287,0.9979340003724756,0.76541311,0.445278969,27.54686813056469,3.0241341595067226,3.789191690636579,3.9898151204917456,,8.637996466657324,2.4226489123120154,1.102722953190297,0.75763666,0.463000678,8.909814177080989,3.392898514844702,3.726575795687605,3.8668909373158256,,9.456537328530464,2.4403967299433456,1.1517178444885685,0.74714286,0.449064449,25.382223861292005,3.3963417106328104,3.598100984326672,3.518738513294446,,9.542683621436892,2.573170919007264,1.0914634940812802,0.76220723,0.449056603,18.972702901810408,3.3827876655480447,3.6698686429565615,3.700993217207579,,9.649978073543132,2.753576700133031,1.1462853231323025,0.77771649,0.427408768,21.717351347208023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,TBR,162,96,66,46,0.5925925925925926,106.63103320623136,0.333441453,0.406392694,150.0,25.99673133564016,57.40070536758586,-16.210305153217632,8.465657751832623,0.224051654,0.08716707,98.68401630341592,0.31668299,0.42241694,228.0,19.610258230281755,-1.2769369488791948,-4.55735057592392,8.831059076357633,0.250203351,0.088661135,98.26230000559109,0.307117969,0.425652253,216.0,17.362096504496186,-14.833351112708732,-20.12433344637975,-2.154863740550354,0.24512074,0.074263976,99.63577460882613,0.314441506,0.405834092,167.0,19.59827854188535,-16.243264229422927,2.5033325450494885,-13.397518137469888,0.215779937,0.071816834,96.97897725004692,0.317104836,0.366751269,117.0,20.599774139926645,-19.906601077689864,12.510343387722967,0.9921214792411774,0.181144238,0.084931506,3.747066032638007,3.817738902672399,3.975270319475674,,8.830150634127046,3.113233967415657,1.019102536239856,0.73314535,0.438803719,17.413118730299175,3.986159401471138,4.1666362927112495,4.2915879429184445,,8.420761735607778,3.1328721545937226,1.202076195,0.72968594,0.429678044,14.993013067170978,4.196074130610723,4.257801401559475,4.222712547870783,,8.562515180810152,3.098153982150173,1.3250760412454916,0.74199507,0.409859835,10.572345690219665,3.7403672647577264,3.9138690403302543,3.9385746942818862,,8.391055701567415,2.953899313393105,1.083715681014242,0.75062814,0.417657045,14.68287938227877,3.560237231239928,3.5633613018183965,3.622359145895331,,8.836029190486661,2.963789888527885,0.8915965432293429,0.74094537,0.408078335,14.093467349695857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
